# messages, hello, text, json, bello, struct
8000, 5505, 5077, 5315, 5128, 5309
7000, 4641, 4369, 4395, 4846, 4670
6000, 5238, 4854, 4825, 4639, 5184
5000, 4329, 4626, 4314, 4270, 4246
4500, 4064, 4406, 3900, 3980, 4278
4000, 3681, 3584, 3680, 3710, 3709
3500, 3378, 3307, 3299, 3404, 3220
3000, 2888, 2892, 2961, 2890, 2871
2000, 1978, 1970, 1989, 1972, 1970
1000, 998, 998, 996, 1001, 998
100, 100, 100, 100, 101, 100
